Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 5.900000e+02	 1.44506750e+00	 3.20548274e-01	-8.95990662e+01	 5.00000000e-01	 3.7650e+03	 9.8760e+15	-1.0000e+16
 6.000000e+02	 1.44505854e+00	 3.20539314e-01	-9.15360253e+01	 5.00000000e-01	 3.7663e+03	 9.8726e+15	-1.0000e+16
 6.100000e+02	 1.44504939e+00	 3.20530160e-01	-9.35261302e+01	 5.00000000e-01	 3.7676e+03	 9.8691e+15	-1.0000e+16
 6.200000e+02	 1.44504004e+00	 3.20520808e-01	-9.55705171e+01	 5.00000000e-01	 3.7690e+03	 9.8656e+15	-1.0000e+16
 6.300000e+02	 1.44503048e+00	 3.20511251e-01	-9.76703521e+01	 5.00000000e-01	 3.7704e+03	 9.8619e+15	-1.0000e+16
 6.400000e+02	 1.44502071e+00	 3.20501484e-01	-9.98268324e+01	 5.00000000e-01	 3.7718e+03	 9.8582e+15	-1.0000e+16
 6.500000e+02	 1.44501073e+00	 3.20491501e-01	-1.02041187e+02	 5.00000000e-01	 3.7733e+03	 9.8544e+15	-1.0000e+16
 6.600000e+02	 1.44500053e+00	 3.20481297e-01	-1.04314675e+02	 5.00000000e-01	 3.7747e+03	 9.8505e+15	-1.0000e+16
 6.700000e+02	 1.44499010e+00	 3.20470866e-01	-1.06648592e+02	 5.00000000e-01	 3.7763e+03	 9.8465e+15	-1.0000e+16
 6.800000e+02	 1.44497943e+00	 3.20460201e-01	-1.09044263e+02	 5.00000000e-01	 3.7778e+03	 9.8425e+15	-1.0000e+16
 6.900000e+02	 1.44496853e+00	 3.20449296e-01	-1.11503050e+02	 5.00000000e-01	 3.7794e+03	 9.8383e+15	-1.0000e+16
 7.000000e+02	 1.44495738e+00	 3.20438146e-01	-1.14026348e+02	 5.00000000e-01	 3.7810e+03	 9.8341e+15	-1.0000e+16
 7.100000e+02	 1.44494597e+00	 3.20426743e-01	-1.16615588e+02	 5.00000000e-01	 3.7827e+03	 9.8297e+15	-1.0000e+16
