Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
1,0,3.96728537452873E-05,-3.45468520056205E-14
2,0.516706,0.0459217093884945,1.55359503473812E-12
3,1.033412,0.0917979031801224,5.7531835198632E-12
4,1.550118,0.137677624821663,-1.51171685846413E-12
5,2.066824,0.183547049760818,4.54140891559263E-12
6,2.58353,0.229473352432251,9.30175814845002E-12
7,3.100236,0.275334596633911,7.84277902495488E-14
8,3.616942,0.32122278213501,2.88702243535222E-12
9,4.133649,0.367094039916992,2.89005039517953E-12
10,4.650355,0.412981510162354,2.28406204540177E-12
11,5.167061,0.458870649337769,3.21103343567386E-12
12,5.683767,0.504730939865112,2.68821727031354E-12
13,6.200473,0.550625324249268,2.54764568816124E-12
14,6.717179,0.596503019332886,2.65787847460175E-12
15,7.233885,0.642359972000122,3.34441675742259E-12
16,7.750591,0.688244581222534,3.13045986702343E-12
17,8.267297,0.734101533889771,3.57431185343815E-12
18,8.784003,0.77997612953186,2.04164983530486E-12
19,9.300709,0.825867891311646,2.41930477387631E-12
20,9.817415,0.871714353561401,2.78794760714962E-12
21,10.334121,0.917606115341187,2.54030238684699E-12
22,10.850826,0.963455438613892,3.24136030516176E-12
23,11.367532,1.00934410095215,3.40964799797061E-12
24,11.884238,1.05523085594177,4.38380234890623E-13
25,12.400944,1.1010890007019,3.00850880666226E-12
26,12.91765,1.14697027206421,2.69280669810967E-12
27,13.434356,1.19286155700684,3.0577183580266E-12
28,13.951062,1.23871564865112,2.89435381044256E-12
29,14.467769,1.28460645675659,3.06830407435787E-12
30,14.984476,1.33043670654297,3.77339132162646E-12
31,15.501182,1.37632584571838,3.24738022930426E-12
32,16.017888,1.42222380638123,3.89596211194942E-12
33,16.534594,1.46806669235229,3.0321121047977E-12
34,17.0513,1.51395177841187,3.77252092412239E-12
35,17.568006,1.55981135368347,4.25893088157325E-12
36,18.084712,1.60568118095398,4.48826566190608E-12
37,18.601418,1.65156483650208,6.8173409625838E-12
38,19.118124,1.69741630554199,1.27766252439043E-11
39,19.63483,1.74329519271851,2.21636771435829E-11
40,20.151536,1.78917169570923,4.0241827231613E-11
41,20.668242,1.83501672744751,7.63272292592099E-11
42,21.701925,1.8808970451355,1.45589471034491E-10
43,22.218632,1.9267430305481,2.84836515485054E-10
44,22.735339,1.97261238098145,5.5972287915651E-10
45,23.314026,2.01918840408325,1.13851550409549E-09
46,23.830732,2.06506252288818,2.20091944669321E-09
47,24.347438,2.11086988449097,4.31600311046054E-09
48,24.864144,2.1567177772522,8.46152925504384E-09
49,25.442836,2.20284461975098,1.65765285942143E-08
50,25.959542,2.24865913391113,3.20568673828348E-08
51,26.476248,2.29442834854126,6.08116295097716E-08
52,27.010221,2.34026432037354,1.1304783953392E-07
53,27.526927,2.38612413406372,2.0522654153865E-07
54,28.043633,2.43231296539307,3.63404382142107E-07
55,28.560339,2.47811317443848,6.1844349374951E-07
56,29.094324,2.52395391464233,1.01065393209865E-06
57,29.61103,2.5697922706604,1.57856345595064E-06
58,30.127736,2.61558771133423,2.36592040891992E-06
59,30.644443,2.66166687011719,3.45702528647962E-06
60,31.161149,2.70752668380737,4.94221421831753E-06
61,31.677855,2.75328159332275,6.91883906256407E-06
62,32.194562,2.79903650283813,9.80023833108135E-06
63,32.728345,2.8448486328125,1.511167283752E-05
64,33.245051,2.89071559906006,2.7268921257928E-05
65,33.761757,2.93684482574463,5.64308284083381E-05
66,34.295539,2.98265218734741,0.000118044503324199
67,34.812245,3.0284571647644,0.000230617413762957
68,35.328951,3.07428598403931,0.000406222476158291
69,35.845657,3.12016725540161,0.000645128253381699
70,36.362363,3.16628456115723,0.000942334358114749
71,36.896155,3.21218729019165,0.00128796813078225
72,37.412862,3.2579779624939,0.00167585490271449
73,37.929568,3.30380439758301,0.00210367911495268
74,38.446274,3.34963798522949,0.00256895297206938
75,38.96298,3.39580535888672,0.00307296635583043
76,39.479686,3.44164371490479,0.00360736949369311
77,39.996392,3.48739624023438,0.0041732108220458
78,40.513098,3.53317022323608,0.00477172248065472
79,41.029804,3.57899904251099,0.00540266744792461
80,41.54651,3.6251163482666,0.00607028603553772
81,42.063216,3.67093801498413,0.0067658293992281
82,42.579922,3.71676921844482,0.00749582890421152
83,43.096628,3.76261472702026,0.00826104171574116
84,43.613334,3.80842208862305,0.00906194746494293
85,44.13004,3.8542628288269,0.00990269891917706
86,44.663825,3.9003586769104,0.0107888821512461
87,45.180531,3.94620418548584,0.0117150312289596
88,45.697237,3.99195671081543,0.0126868486404419
89,46.213943,4.0378212928772,0.0137112140655518
90,46.730649,4.08361673355103,0.0147868040949106
91,47.247355,4.1297721862793,0.0159269701689482
92,47.764061,4.17560338973999,0.0171148665249348
93,48.280767,4.2213773727417,0.0183609258383512
94,48.797473,4.26722049713135,0.019667387008667
95,49.314179,4.31300163269043,0.0210356712341309
96,49.830885,4.35906171798706,0.0224782582372427
97,50.347591,4.40495729446411,0.0239741448312998
98,50.864297,4.4507908821106,0.0255400538444519
99,51.381004,4.49658870697021,0.0271744728088379
100,51.89771,4.54248666763306,0.028882646933198
101,52.414416,4.58825826644897,0.030663276091218
102,52.931122,4.63441133499146,0.0325354337692261
103,53.447828,4.68024730682373,0.0344865806400776
104,53.964534,4.72611427307129,0.0365183614194393
