SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Oct 29 20:12:16 EDT 2024
User: DJ
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: JAZA0267
Integration Time (usec): 500000 (JAZA0267)
Spectra Averaged: 1 (JAZA0267)
Boxcar Smoothing: 0 (JAZA0267)
Correct for Electrical Dark: No (JAZA0267)
Strobe/Lamp Enabled: No (JAZA0267)
Correct for Detector Non-linearity: No (JAZA0267)
Correct for Stray Light: No (JAZA0267)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
340.37	1265.03
340.75	1265.03
341.13	1265.03
341.51	1255.90
341.89	1283.30
342.27	1267.31
342.66	1427.16
343.04	1388.34
343.42	1454.56
343.80	1358.65
344.18	1335.82
344.56	1392.90
344.94	1340.38
345.32	1397.47
345.71	1386.05
346.09	1317.55
346.47	1388.34
346.85	1411.17
347.23	1395.19
347.61	1315.27
347.99	1292.43
348.37	1504.79
348.75	1365.50
349.13	1386.05
349.51	1379.20
349.90	1374.64
350.28	1358.65
350.66	1381.49
351.04	1550.46
351.42	1404.32
351.80	1413.46
352.18	1381.49
352.56	1381.49
352.94	1331.25
353.32	1331.25
353.70	1440.86
354.08	1440.86
354.46	1360.94
354.84	1395.19
355.22	1290.15
355.60	1328.97
355.98	1308.42
356.36	1486.53
356.74	1386.05
357.12	1395.19
357.50	1392.90
357.88	1290.15
358.26	1358.65
358.64	1422.59
359.02	1468.26
359.40	1354.09
359.78	1376.92
360.16	1379.20
360.54	1390.62
360.92	1349.52
361.30	1431.72
361.68	1374.64
362.06	1356.37
362.44	1342.67
362.82	1351.80
363.20	1356.37
363.58	1331.25
363.96	1390.62
364.34	1349.52
364.72	1376.92
365.09	1461.41
365.47	1404.32
365.85	1408.89
366.23	1297.00
366.61	1392.90
366.99	1276.45
367.37	1386.05
367.75	1452.27
368.13	1347.24
368.51	1372.35
368.89	1349.52
369.26	1383.77
369.64	1429.44
370.02	1431.72
370.40	1630.38
370.78	1504.79
371.16	1317.55
371.54	1354.09
371.92	1392.90
372.29	1310.70
372.67	1420.31
373.05	1383.77
373.43	1228.50
373.81	1308.42
374.19	1420.31
374.56	1344.95
374.94	1372.35
375.32	1447.71
375.70	1351.80
376.08	1365.50
376.46	1328.97
376.83	1397.47
377.21	1415.74
377.59	1495.66
377.97	1502.51
378.35	1381.49
378.72	1290.15
379.10	1388.34
379.48	1349.52
379.86	1331.25
380.24	1358.65
380.61	1342.67
380.99	1397.47
381.37	1292.43
381.75	1333.53
382.12	1308.42
382.50	1303.85
382.88	1294.72
383.26	1356.37
383.64	1516.21
384.01	1319.83
384.39	1447.71
384.77	1351.80
385.14	1315.27
385.52	1365.50
385.90	1402.04
386.28	1349.52
386.65	1420.31
387.03	1397.47
387.41	1376.92
387.79	1381.49
388.16	1301.57
388.54	1340.38
388.92	1365.50
389.29	1424.87
389.67	1319.83
390.05	1363.22
390.42	1328.97
390.80	1418.02
391.18	1406.60
391.55	1395.19
391.93	1438.57
392.31	1356.37
392.68	1351.80
393.06	1376.92
393.44	1285.58
393.81	1340.38
394.19	1358.65
394.57	1408.89
394.94	1392.90
395.32	1331.25
395.70	1308.42
396.07	1328.97
396.45	1390.62
396.83	1354.09
397.20	1390.62
397.58	1390.62
397.95	1374.64
398.33	1328.97
398.71	1303.85
399.08	1303.85
399.46	1440.86
399.83	1386.05
400.21	1395.19
400.59	1344.95
400.96	1443.14
401.34	1429.44
401.71	1383.77
402.09	1372.35
402.46	1301.57
402.84	1338.10
403.22	1315.27
403.59	1351.80
403.97	1383.77
404.34	1418.02
404.72	1317.55
405.09	1493.38
405.47	1408.89
405.84	1370.07
406.22	1354.09
406.59	1347.24
406.97	1381.49
407.35	1351.80
407.72	1347.24
408.10	1306.13
408.47	1488.81
408.85	1532.19
409.22	1424.87
409.60	1358.65
409.97	1328.97
410.35	1372.35
410.72	1434.01
411.10	1470.54
411.47	1338.10
411.84	1358.65
412.22	1356.37
412.59	1443.14
412.97	1383.77
413.34	1390.62
413.72	1392.90
414.09	1347.24
414.47	1360.94
414.84	1367.79
415.22	1347.24
415.59	1376.92
415.96	1344.95
416.34	1367.79
416.71	1333.53
417.09	1386.05
417.46	1333.53
417.84	1328.97
418.21	1372.35
418.58	1338.10
418.96	1418.02
419.33	1434.01
419.71	1367.79
420.08	1342.67
420.45	1422.59
420.83	1374.64
421.20	1340.38
421.58	1420.31
421.95	1301.57
422.32	1351.80
422.70	1454.56
423.07	1351.80
423.44	1349.52
423.82	1360.94
424.19	1397.47
424.56	1468.26
424.94	1438.57
425.31	1390.62
425.68	1463.69
426.06	1347.24
426.43	1495.66
426.80	1381.49
427.18	1358.65
427.55	1328.97
427.92	1324.40
428.30	1374.64
428.67	1484.24
429.04	1299.28
429.42	1370.07
429.79	1367.79
430.16	1299.28
430.53	1322.12
430.91	1351.80
431.28	1495.66
431.65	1370.07
432.03	1322.12
432.40	1397.47
432.77	1328.97
433.14	1413.46
433.52	1548.18
433.89	1335.82
434.26	1370.07
434.63	1365.50
435.01	1310.70
435.38	1438.57
435.75	1415.74
436.12	1555.03
436.50	1443.14
436.87	1420.31
437.24	1434.01
437.61	1431.72
437.98	1381.49
438.36	1335.82
438.73	1481.96
439.10	1461.41
439.47	1388.34
439.84	1520.78
440.22	1356.37
440.59	1402.04
440.96	1491.09
441.33	1301.57
441.70	1374.64
442.08	1434.01
442.45	1415.74
442.82	1322.12
443.19	1365.50
443.56	1365.50
443.93	1404.32
444.30	1402.04
444.68	1429.44
445.05	1342.67
445.42	1374.64
445.79	1406.60
446.16	1386.05
446.53	1306.13
446.90	1413.46
447.28	1411.17
447.65	1600.70
448.02	1381.49
448.39	1392.90
448.76	1363.22
449.13	1395.19
449.50	1445.42
449.87	1360.94
450.24	1351.80
450.61	1420.31
450.98	1518.49
451.36	1404.32
451.73	1285.58
452.10	1335.82
452.47	1374.64
