SMU-1 Voltage (V),SMU-1 Current (A)
3.97E-05,-3.45E-14
0.04592170939,1.55E-12
0.09179790318,5.75E-12
0.1376776248,-1.51E-12
0.1835470498,4.54E-12
0.2294733524,9.30E-12
0.2753345966,7.84E-14
0.3212227821,2.89E-12
0.3670940399,2.89E-12
0.4129815102,2.28E-12
0.4588706493,3.21E-12
0.5047309399,2.69E-12
0.5506253242,2.55E-12
0.5965030193,2.66E-12
0.642359972,3.34E-12
0.6882445812,3.13E-12
0.7341015339,3.57E-12
0.7799761295,2.04E-12
0.8258678913,2.42E-12
0.8717143536,2.79E-12
0.9176061153,2.54E-12
0.9634554386,3.24E-12
1.009344101,3.41E-12
1.055230856,4.38E-13
1.101089001,3.01E-12
1.146970272,2.69E-12
1.192861557,3.06E-12
1.238715649,2.89E-12
1.284606457,3.07E-12
1.330436707,3.77E-12
1.376325846,3.25E-12
1.422223806,3.90E-12
1.468066692,3.03E-12
1.513951778,3.77E-12
1.559811354,4.26E-12
1.605681181,4.49E-12
1.651564837,6.82E-12
1.697416306,1.28E-11
1.743295193,2.22E-11
1.789171696,4.02E-11
1.835016727,7.63E-11
1.880897045,1.46E-10
1.926743031,2.85E-10
1.972612381,5.60E-10
2.019188404,1.14E-09
2.065062523,2.20E-09
2.110869884,4.32E-09
2.156717777,8.46E-09
2.20284462,1.66E-08
2.248659134,3.21E-08
2.294428349,6.08E-08
2.34026432,1.13E-07
2.386124134,2.05E-07
2.432312965,3.63E-07
2.478113174,6.18E-07
2.523953915,1.01E-06
2.569792271,1.58E-06
2.615587711,2.37E-06
2.66166687,3.46E-06
2.707526684,4.94E-06
2.753281593,6.92E-06
2.799036503,9.80E-06
2.844848633,1.51E-05
2.890715599,2.73E-05
2.936844826,5.64E-05
2.982652187,0.0001180445033
3.028457165,0.0002306174138
3.074285984,0.0004062224762
3.120167255,0.0006451282534
3.166284561,0.0009423343581
3.21218729,0.001287968131
3.257977962,0.001675854903
3.303804398,0.002103679115
3.349637985,0.002568952972
3.395805359,0.003072966356
3.441643715,0.003607369494
3.48739624,0.004173210822
3.533170223,0.004771722481
3.578999043,0.005402667448
3.625116348,0.006070286036
3.670938015,0.006765829399
3.716769218,0.007495828904
3.762614727,0.008261041716
3.808422089,0.009061947465
3.854262829,0.009902698919
3.900358677,0.01078888215
3.946204185,0.01171503123
3.991956711,0.01268684864
4.037821293,0.01371121407
4.083616734,0.01478680409
4.129772186,0.01592697017
4.17560339,0.01711486652
4.221377373,0.01836092584
4.267220497,0.01966738701
4.313001633,0.02103567123
4.359061718,0.02247825824
4.404957294,0.02397414483
4.450790882,0.02554005384
4.496588707,0.02717447281
4.542486668,0.02888264693
4.588258266,0.03066327609
4.634411335,0.03253543377
4.680247307,0.03448658064
4.726114273,0.03651836142
4.771983624,0.03861091286
4.817709923,0.04077615961
4.863862991,0.0430441983
4.909665585,0.04539152607
4.955444336,0.04783617333
5.001263618,0.05038940907
5.047130585,0.0530583635
5.093312263,0.05587381124
5.139114857,0.05880836397
5.184953213,0.06189500168
5.230717659,0.06514089555
5.276479721,0.068567954
5.322630405,0.07222079486
5.368456841,0.07607441396
5.414254665,0.08017387241
5.460042953,0.08454781026
5.505886078,0.08923301846
5.460028648,0.0855358988
5.414197445,0.08177566528
5.368418694,0.07804303616
5.322549343,0.07437771559
5.27643919,0.07079627365
5.230612755,0.0673520714
5.184810162,0.06403632462
5.138993263,0.06085597351
5.093207359,0.05780599266
5.047037601,0.05486557633
5.001232624,0.05207235739
4.95537281,0.04939693213
4.909636974,0.04683348164
4.863848686,0.04437354952
4.817667007,0.04199568182
4.771826267,0.03972966596
4.726092815,0.03755172715
4.680249691,0.03544585779
4.634423256,0.0334100239
4.588310719,0.03145977482
4.542491436,0.02960350551
4.496669769,0.0278270971
4.450821877,0.02612876892
4.404981136,0.02450310066
4.359180927,0.02295168675
4.313054085,0.02145918645
4.267246723,0.02004555427
4.221432209,0.01869740523
4.175605774,0.01741324738
4.129796028,0.01619091071
4.083669186,0.01502177771
4.037904739,0.01391880494
3.9920187,0.01286976319
3.946194649,0.01187376957
3.900384903,0.01092906017
3.854231834,0.01002379693
3.808391094,0.00916983746
3.762538433,0.008355238475
3.716738224,0.007579244208
3.670885563,0.006838872097
3.625075817,0.006133850664
3.579025269,0.005458855536
3.533229828,0.004820557777
3.487374783,0.004214494023
3.44158411,0.003641886637
3.395700455,0.003101911396
3.349606991,0.002593231155
3.303761482,0.002123875543
3.257932663,0.001692028018
3.212149143,0.001300451695
3.166277409,0.0009517270955
3.120167255,0.0006518410519
3.074276447,0.0004105793487
3.028421402,0.0002331163996
2.982623577,0.0001194105207
2.936832905,5.71E-05
2.890763283,2.76E-05
2.844967842,1.53E-05
2.799105644,9.88E-06
2.753298283,6.98E-06
2.707488537,5.03E-06
2.661671638,3.58E-06
2.615611553,2.47E-06
2.569806576,1.64E-06
2.523941994,1.05E-06
2.478101254,6.36E-07
2.432324886,3.72E-07
2.386147976,2.09E-07
2.340292931,1.15E-07
2.294440269,6.15E-08
2.248735428,3.24E-08
2.202911377,1.67E-08
2.156755924,8.54E-09
2.110955715,4.36E-09
2.065086365,2.22E-09
2.019233704,1.13E-09
1.97262454,5.60E-10
1.92675209,2.95E-10
1.880909204,1.49E-10
1.835025311,7.48E-11
1.789179087,3.64E-11
1.743302345,1.71E-11
1.697428703,7.35E-12
1.651581049,2.43E-12
1.60570097,-1.60E-15
1.559819698,-1.28E-12
1.513956547,-1.92E-12
1.468078613,-2.02E-12
1.422229528,-2.41E-12
1.376335621,-2.47E-12
1.330451012,-3.06E-12
1.284600496,-2.61E-12
1.238713741,-2.37E-12
1.19286108,-2.50E-12
1.146972418,-2.66E-12
1.1010921,-2.54E-12
1.055236101,-2.46E-12
1.009343863,-2.46E-12
0.9634542465,-2.41E-12
0.9176015854,-2.46E-12
0.8717126846,-2.45E-12
0.8258702755,-2.36E-12
0.7799751759,-2.43E-12
0.7340929508,-2.62E-12
0.6882586479,-2.64E-12
0.6423583031,-3.19E-12
0.596501112,-2.78E-12
0.5506153107,-2.06E-12
0.5047283173,-2.81E-12
0.4588623047,-2.17E-12
0.4129765034,-2.52E-12
0.3670904636,-2.59E-12
0.3212213516,-3.14E-12
0.2753348351,-2.40E-12
0.229470253,-2.44E-12
0.1835472882,-2.51E-12
0.1376745999,-2.71E-12
0.09179294109,-2.85E-12
0.04591984674,-2.12E-12
3.16E-05,-1.14E-12
