Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 1.780000e+02	-5.40534375e-02	-3.44705344e+00	 3.04786139e+05	 0.00000000e+00	 6.5961e+18	 4.0299e-39	 1.0000e+15
 1.790000e+02	-5.10055761e-02	-3.44400558e+00	 2.92957961e+05	 0.00000000e+00	 6.2108e+18	 4.5342e-39	 1.0000e+15
 1.800000e+02	-4.80759965e-02	-3.44107600e+00	 2.81812400e+05	 0.00000000e+00	 5.8524e+18	 5.0782e-39	 1.0000e+15
 1.810000e+02	-4.52578725e-02	-3.43825787e+00	 2.71302181e+05	 0.00000000e+00	 5.5189e+18	 5.6631e-39	 1.0000e+15
 1.820000e+02	-4.25448506e-02	-3.43554485e+00	 2.61383635e+05	 0.00000000e+00	 5.2083e+18	 6.2897e-39	 1.0000e+15
 1.830000e+02	-3.99310143e-02	-3.43293101e+00	 2.52016408e+05	 0.00000000e+00	 4.9188e+18	 6.9589e-39	 1.0000e+15
 1.840000e+02	-3.74108502e-02	-3.43041085e+00	 2.43163184e+05	 0.00000000e+00	 4.6490e+18	 7.6715e-39	 1.0000e+15
 1.850000e+02	-3.49792184e-02	-3.42797922e+00	 2.34789443e+05	 0.00000000e+00	 4.3972e+18	 8.4281e-39	 1.0000e+15
 1.860000e+02	-3.26313239e-02	-3.42563132e+00	 2.26863236e+05	 0.00000000e+00	 4.1623e+18	 9.2294e-39	 1.0000e+15
 1.870000e+02	-3.03626916e-02	-3.42336269e+00	 2.19354977e+05	 0.00000000e+00	 3.9428e+18	 1.0076e-38	 1.0000e+15
 1.880000e+02	-2.81691418e-02	-3.42116914e+00	 2.12237263e+05	 0.00000000e+00	 3.7378e+18	 1.0968e-38	 1.0000e+15
 1.890000e+02	-2.60467692e-02	-3.41904677e+00	 2.05484697e+05	 0.00000000e+00	 3.5461e+18	 1.1907e-38	 1.0000e+15
 1.900000e+02	-2.39919222e-02	-3.41699192e+00	 1.99073734e+05	 0.00000000e+00	 3.3668e+18	 1.2892e-38	 1.0000e+15
 1.910000e+02	-2.20011849e-02	-3.41500118e+00	 1.92982537e+05	 0.00000000e+00	 3.1989e+18	 1.3924e-38	 1.0000e+15
 1.920000e+02	-2.00713595e-02	-3.41307136e+00	 1.87190844e+05	 0.00000000e+00	 3.0416e+18	 1.5003e-38	 1.0000e+15
 1.930000e+02	-1.81994511e-02	-3.41119945e+00	 1.81679849e+05	 0.00000000e+00	 2.8943e+18	 1.6129e-38	 1.0000e+15
 1.940000e+02	-1.63826526e-02	-3.40938265e+00	 1.76432087e+05	 0.00000000e+00	 2.7561e+18	 1.7304e-38	 1.0000e+15
 1.950000e+02	-1.46183317e-02	-3.40761833e+00	 1.71431335e+05	 0.00000000e+00	 2.6264e+18	 1.8526e-38	 1.0000e+15
 1.960000e+02	-1.29040184e-02	-3.40590402e+00	 1.66662514e+05	 0.00000000e+00	 2.5046e+18	 1.9796e-38	 1.0000e+15
 1.970000e+02	-1.12373932e-02	-3.40423739e+00	 1.62111604e+05	 0.00000000e+00	 2.3902e+18	 2.1114e-38	 1.0000e+15
 1.980000e+02	-9.61627718e-03	-3.40261628e+00	 1.57765564e+05	 0.00000000e+00	 2.2827e+18	 2.2481e-38	 1.0000e+15
 1.990000e+02	-8.03862154e-03	-3.40103862e+00	 1.53612256e+05	 0.00000000e+00	 2.1815e+18	 2.3895e-38	 1.0000e+15
 2.000000e+02	-6.50249898e-03	-3.39950250e+00	 1.49640379e+05	 0.00000000e+00	 2.0862e+18	 2.5358e-38	 1.0000e+15
 2.010000e+02	-5.00609519e-03	-3.39800610e+00	 1.45839404e+05	 0.00000000e+00	 1.9965e+18	 2.6869e-38	 1.0000e+15
 2.020000e+02	-3.54770115e-03	-3.39654770e+00	 1.42199520e+05	 0.00000000e+00	 1.9119e+18	 2.8429e-38	 1.0000e+15
 2.030000e+02	-2.12570595e-03	-3.39512571e+00	 1.38711575e+05	 0.00000000e+00	 1.8322e+18	 3.0036e-38	 1.0000e+15
 2.040000e+02	-7.38590193e-04	-3.39373859e+00	 1.35367033e+05	 0.00000000e+00	 1.7569e+18	 3.1692e-38	 1.0000e+15
 2.050000e+02	 6.15080139e-04	-3.39238492e+00	 1.32157923e+05	 0.00000000e+00	 1.6858e+18	 3.3395e-38	 1.0000e+15
 2.060000e+02	 1.93665937e-03	-3.39106334e+00	 1.29076802e+05	 0.00000000e+00	 1.6186e+18	 3.5147e-38	 1.0000e+15
 2.070000e+02	 3.22742739e-03	-3.38977257e+00	 1.26116712e+05	 0.00000000e+00	 1.5551e+18	 3.6947e-38	 1.0000e+15
 2.080000e+02	 4.48859451e-03	-3.38851141e+00	 1.23271147e+05	 0.00000000e+00	 1.4949e+18	 3.8794e-38	 1.0000e+15
