[0, 0, 0]
Base Voltage_1 (1)	Base Current_1 (1)	Collector Voltage_2 (1)	Collector Current_2 (1)
+5.899486E-01	+1.130829E-04	+6.400891E-01	+4.163348E-05
+5.933086E-01	+1.226191E-04	+6.434422E-01	+4.714333E-05
+5.965949E-01	+1.326078E-04	+6.467329E-01	+5.321695E-05
+5.999480E-01	+1.435494E-04	+6.500885E-01	+6.021607E-05
+6.033025E-01	+1.552475E-04	+6.534472E-01	+6.808648E-05
+6.065946E-01	+1.675246E-04	+6.567389E-01	+7.677925E-05
+6.099514E-01	+1.809115E-04	+6.600978E-01	+8.675657E-05
+6.133043E-01	+1.951949E-04	+6.634603E-01	+9.795033E-05
+6.166010E-01	+2.102034E-04	+6.667280E-01	+1.103069E-04
+6.199573E-01	+2.264758E-04	+6.700844E-01	+1.244272E-04
+6.233129E-01	+2.438333E-04	+6.734426E-01	+1.402411E-04
+6.266055E-01	+2.620066E-04	+6.767293E-01	+1.576222E-04
+6.299585E-01	+2.817141E-04	+6.800853E-01	+1.773935E-04
+6.333173E-01	+3.027755E-04	+6.834449E-01	+1.995647E-04
+6.366038E-01	+3.247542E-04	+6.867652E-01	+2.237986E-04
+6.399588E-01	+3.486101E-04	+6.900890E-01	+2.513171E-04
+6.433173E-01	+3.740994E-04	+6.934448E-01	+2.820714E-04
+6.466020E-01	+4.006248E-04	+6.967668E-01	+3.155012E-04
+6.499607E-01	+4.295188E-04	+7.001231E-01	+3.534616E-04
+6.533163E-01	+4.602800E-04	+7.034371E-01	+3.955896E-04
+6.566035E-01	+4.923453E-04	+7.067612E-01	+4.413111E-04
+6.599643E-01	+5.272694E-04	+7.101160E-01	+4.930368E-04
+6.633227E-01	+5.644568E-04	+7.134693E-01	+5.502565E-04
+6.666075E-01	+6.031617E-04	+7.167577E-01	+6.119988E-04
+6.699696E-01	+6.453167E-04	+7.201110E-01	+6.816093E-04
+6.733214E-01	+6.901217E-04	+7.234635E-01	+7.581480E-04
+6.766153E-01	+7.369447E-04	+7.267478E-01	+8.407323E-04
+6.799703E-01	+7.877651E-04	+7.301063E-01	+9.331332E-04
+6.833240E-01	+8.418171E-04	+7.334623E-01	+1.034401E-03
+6.866126E-01	+8.987106E-04	+7.367321E-01	+1.142729E-03
+6.899687E-01	+9.593342E-04	+7.400824E-01	+1.263866E-03
+6.933283E-01	+1.024638E-03	+7.434357E-01	+1.396269E-03
+6.965849E-01	+1.092648E-03	+7.467196E-01	+1.537436E-03
+6.999359E-01	+1.166280E-03	+7.500739E-01	+1.693743E-03
+7.032953E-01	+1.244850E-03	+7.534311E-01	+1.863978E-03
+7.065856E-01	+1.326726E-03	+7.567490E-01	+2.044715E-03
+7.099370E-01	+1.415405E-03	+7.600684E-01	+2.244061E-03
+7.132963E-01	+1.510004E-03	+7.634175E-01	+2.459990E-03
+7.165818E-01	+1.608385E-03	+7.667322E-01	+2.687763E-03
+7.199414E-01	+1.715242E-03	+7.700866E-01	+2.938367E-03
+7.232935E-01	+1.828845E-03	+7.734057E-01	+3.207768E-03
+7.265781E-01	+1.947056E-03	+7.767265E-01	+3.490846E-03
+7.299388E-01	+2.075553E-03	+7.800770E-01	+3.800815E-03
+7.332935E-01	+2.211870E-03	+7.834336E-01	+4.132011E-03
+7.365783E-01	+2.354005E-03	+7.867184E-01	+4.479063E-03
+7.399406E-01	+2.508071E-03	+7.900745E-01	+4.856341E-03
+7.432919E-01	+2.671663E-03	+7.934284E-01	+5.257592E-03
+7.465832E-01	+2.842143E-03	+7.967092E-01	+5.675832E-03
+7.499402E-01	+3.026679E-03	+8.000675E-01	+6.128055E-03
+7.532939E-01	+3.222293E-03	+8.034208E-01	+6.606167E-03
+7.565949E-01	+3.426693E-03	+8.067073E-01	+7.103708E-03
+7.599433E-01	+3.646768E-03	+8.100616E-01	+7.636357E-03
+7.633024E-01	+3.880716E-03	+8.134162E-01	+8.198957E-03
