[0, 0, 0]
V_CE_1 (1)	I_C_1 (1)	V_BE_2 (1)	I_B_2 (1)	V_CE_1 (2)	I_C_1 (2)	V_BE_2 (2)	I_B_2 (2)	V_CE_1 (3)	I_C_1 (3)	V_BE_2 (3)	I_B_2 (3)	V_CE_1 (4)	I_C_1 (4)	V_BE_2 (4)	I_B_2 (4)	V_CE_1 (5)	I_C_1 (5)	V_BE_2 (5)	I_B_2 (5)
+3.550202E+00	+1.097000E-05	+5.548091E-01	-2.835790E-08	+3.550632E+00	+7.185727E-02	+7.814849E-01	+5.004181E-04	+3.549723E+00	+9.075948E-02	+7.936504E-01	+1.000019E-03	+3.549344E+00	+1.034875E-01	+8.006822E-01	+1.499702E-03	+3.549269E+00	+1.145003E-01	+8.056001E-01	+2.000704E-03
+3.600986E+00	+1.047952E-05	+5.522887E-01	-2.832564E-08	+3.599523E+00	+7.212427E-02	+7.807207E-01	+5.004972E-04	+3.600330E+00	+9.106179E-02	+7.929128E-01	+9.990226E-04	+3.600102E+00	+1.037874E-01	+7.999123E-01	+1.501000E-03	+3.598867E+00	+1.142453E-01	+8.045356E-01	+1.999752E-03
+3.650609E+00	+9.360651E-06	+5.520726E-01	+2.182948E-08	+3.649956E+00	+7.240599E-02	+7.798954E-01	+5.002140E-04	+3.650362E+00	+9.137447E-02	+7.920043E-01	+9.992166E-04	+3.650228E+00	+1.040880E-01	+7.989376E-01	+1.499323E-03	+3.649071E+00	+1.145978E-01	+8.038445E-01	+2.000683E-03
+3.700913E+00	+9.857798E-06	+5.515338E-01	-7.851227E-08	+3.698559E+00	+7.266284E-02	+7.791492E-01	+5.001926E-04	+3.699884E+00	+9.165926E-02	+7.916034E-01	+1.001137E-03	+3.700085E+00	+1.043782E-01	+7.979411E-01	+1.498979E-03	+3.699582E+00	+1.150039E-01	+8.029654E-01	+2.001371E-03
+3.748671E+00	+9.567715E-06	+5.520446E-01	+8.247868E-07	+3.750848E+00	+7.294527E-02	+7.787253E-01	+5.011639E-04	+3.749673E+00	+9.194782E-02	+7.908192E-01	+1.000119E-03	+3.750613E+00	+1.046728E-01	+7.972295E-01	+1.500079E-03	+3.749766E+00	+1.155603E-01	+8.019401E-01	+2.000640E-03
+3.800286E+00	+9.734441E-06	+5.505725E-01	+2.182374E-08	+3.799177E+00	+7.319714E-02	+7.781081E-01	+5.004288E-04	+3.799863E+00	+9.223866E-02	+7.900230E-01	+1.000442E-03	+3.799964E+00	+1.049530E-01	+7.966672E-01	+1.500606E-03	+3.799627E+00	+1.154522E-01	+8.012187E-01	+2.000669E-03
+3.844000E+00	+9.770612E-06	+5.533614E-01	+1.276460E-06	+3.850086E+00	+7.346827E-02	+7.770814E-01	+5.006442E-04	+3.849499E+00	+9.253124E-02	+7.889577E-01	+9.993740E-04	+3.849857E+00	+1.052813E-01	+7.954551E-01	+1.499444E-03	+3.849225E+00	+1.156032E-01	+8.001047E-01	+2.000418E-03
+3.899747E+00	+1.061241E-05	+5.561956E-01	+1.723908E-07	+3.900182E+00	+7.372392E-02	+7.763385E-01	+5.000922E-04	+3.898666E+00	+9.279292E-02	+7.883241E-01	+1.000464E-03	+3.899695E+00	+1.053858E-01	+7.948114E-01	+1.500175E-03	+3.899420E+00	+1.161629E-01	+7.992698E-01	+1.999937E-03
+3.949251E+00	+1.009968E-05	+5.546207E-01	-1.789042E-07	+3.949445E+00	+7.397058E-02	+7.756097E-01	+5.002031E-04	+3.950331E+00	+9.308463E-02	+7.874677E-01	+1.000234E-03	+3.948868E+00	+1.056819E-01	+7.940427E-01	+1.500265E-03	+3.948610E+00	+1.157510E-01	+7.984197E-01	+1.999795E-03
+3.996950E+00	+8.670532E-06	+5.536705E-01	-2.793162E-07	+4.000018E+00	+7.422791E-02	+7.748429E-01	+5.007446E-04	+3.999473E+00	+9.334422E-02	+7.867417E-01	+1.001159E-03	+3.999011E+00	+1.058367E-01	+7.929586E-01	+1.500215E-03	+3.999184E+00	+1.167127E-01	+7.974748E-01	+1.999866E-03
+4.048582E+00	+9.539093E-06	+5.514703E-01	+2.225861E-07	+4.049287E+00	+7.446859E-02	+7.740133E-01	+5.001819E-04	+4.049950E+00	+9.362035E-02	+7.858704E-01	+1.000621E-03	+4.049618E+00	+1.063403E-01	+7.921223E-01	+1.500147E-03	+4.049575E+00	+1.171181E-01	+7.962720E-01	+1.999695E-03
+4.096560E+00	+9.828832E-06	+5.530542E-01	+2.727709E-07	+4.099205E+00	+7.471263E-02	+7.734612E-01	+5.007841E-04	+4.099994E+00	+9.387905E-02	+7.850986E-01	+1.000234E-03	+4.100170E+00	+1.064448E-01	+7.912715E-01	+1.499717E-03	+4.099725E+00	+1.171222E-01	+7.954084E-01	+1.999694E-03
+4.151354E+00	+9.790156E-06	+5.560459E-01	-2.835432E-08	+4.150328E+00	+7.494838E-02	+7.723539E-01	+4.992572E-04	+4.149837E+00	+9.413673E-02	+7.842643E-01	+1.000220E-03	+4.149724E+00	+1.065417E-01	+7.901504E-01	+1.499534E-03	+4.149528E+00	+1.172733E-01	+7.944639E-01	+1.999794E-03
+4.199565E+00	+1.019845E-05	+5.547309E-01	+4.735013E-07	+4.199856E+00	+7.518426E-02	+7.717968E-01	+5.001460E-04	+4.200017E+00	+9.439526E-02	+7.834166E-01	+1.000177E-03	+4.199352E+00	+1.070964E-01	+7.893247E-01	+1.500064E-03	+4.200006E+00	+1.178264E-01	+7.937790E-01	+2.000768E-03
+4.248448E+00	+1.016743E-05	+5.555627E-01	-1.132366E-06	+4.249466E+00	+7.541497E-02	+7.708361E-01	+4.994647E-04	+4.250112E+00	+9.464726E-02	+7.823346E-01	+9.993241E-04	+4.249486E+00	+1.070971E-01	+7.885885E-01	+1.500418E-03	+4.250212E+00	+1.175746E-01	+7.927147E-01	+2.001493E-03
+4.299800E+00	+1.072417E-05	+5.543217E-01	-5.803831E-07	+4.299954E+00	+7.564548E-02	+7.701221E-01	+4.996192E-04	+4.300295E+00	+9.488545E-02	+7.816130E-01	+1.001159E-03	+4.298792E+00	+1.073970E-01	+7.874444E-01	+1.499645E-03	+4.299226E+00	+1.179724E-01	+7.916869E-01	+2.000253E-03
+4.348569E+00	+1.101263E-05	+5.537478E-01	+1.221935E-07	+4.350353E+00	+7.587793E-02	+7.693045E-01	+4.995224E-04	+4.350089E+00	+9.513442E-02	+7.807620E-01	+1.000184E-03	+4.349484E+00	+1.075527E-01	+7.866979E-01	+1.499932E-03	+4.350167E+00	+1.183258E-01	+7.905180E-01	+1.999515E-03
+4.399930E+00	+1.004510E-05	+5.587316E-01	+9.252439E-07	+4.399332E+00	+7.609638E-02	+7.686859E-01	+5.002535E-04	+4.398746E+00	+9.535621E-02	+7.800448E-01	+1.001072E-03	+4.399621E+00	+1.081074E-01	+7.857000E-01	+1.500039E-03	+4.399067E+00	+1.184743E-01	+7.898611E-01	+2.000533E-03
+4.451471E+00	+1.047770E-05	+5.523257E-01	+2.183234E-08	+4.450575E+00	+7.631513E-02	+7.678007E-01	+5.006799E-04	+4.449408E+00	+9.559444E-02	+7.791579E-01	+1.000592E-03	+4.449699E+00	+1.082553E-01	+7.845864E-01	+1.499566E-03	+4.449731E+00	+1.189317E-01	+7.887918E-01	+2.000976E-03
+4.499565E+00	+1.047757E-05	+5.520131E-01	+4.233082E-07	+4.499904E+00	+7.653439E-02	+7.670123E-01	+5.005367E-04	+4.501403E+00	+9.583602E-02	+7.779292E-01	+9.999407E-04	+4.499207E+00	+1.085025E-01	+7.836688E-01	+1.500276E-03	+4.499496E+00	+1.189334E-01	+7.877210E-01	+2.000755E-03
+4.551383E+00	+9.356469E-06	+5.520066E-01	+6.240475E-07	+4.550086E+00	+7.674662E-02	+7.663451E-01	+5.011208E-04	+4.549611E+00	+9.605202E-02	+7.771651E-01	+1.000091E-03	+4.549741E+00	+1.085056E-01	+7.829571E-01	+1.500297E-03	+4.548740E+00	+1.187730E-01	+7.866646E-01	+2.000196E-03
+4.599537E+00	+1.068338E-05	+5.549086E-01	-9.817472E-07	+4.599842E+00	+7.696028E-02	+7.651899E-01	+4.990277E-04	+4.600010E+00	+9.627738E-02	+7.759017E-01	+9.988367E-04	+4.600173E+00	+1.091176E-01	+7.815093E-01	+1.499355E-03	+4.599239E+00	+1.191810E-01	+7.858760E-01	+2.000432E-03
+4.651089E+00	+1.157101E-05	+5.594626E-01	+7.200465E-08	+4.649879E+00	+7.717134E-02	+7.647225E-01	+5.003180E-04	+4.649814E+00	+9.649347E-02	+7.752230E-01	+1.000062E-03	+4.649677E+00	+1.089619E-01	+7.809728E-01	+1.500655E-03	+4.648337E+00	+1.194276E-01	+7.845577E-01	+2.000726E-03
+4.699614E+00	+1.149323E-05	+5.586920E-01	+7.244129E-07	+4.700151E+00	+7.737237E-02	+7.638575E-01	+5.003539E-04	+4.699983E+00	+9.671260E-02	+7.742054E-01	+9.995392E-04	+4.699311E+00	+1.092625E-01	+7.798831E-01	+1.500806E-03	+4.699412E+00	+1.196862E-01	+7.837125E-01	+2.000524E-03
+4.750424E+00	+1.051950E-05	+5.567457E-01	-2.839374E-08	+4.750019E+00	+7.758009E-02	+7.627581E-01	+4.999096E-04	+4.750359E+00	+9.693591E-02	+7.734677E-01	+9.999117E-04	+4.749954E+00	+1.095174E-01	+7.788333E-01	+1.500185E-03	+4.749482E+00	+1.199372E-01	+7.823636E-01	+1.999981E-03
+4.800629E+00	+1.074781E-05	+5.558449E-01	+1.176098E-06	+4.799587E+00	+7.777725E-02	+7.622421E-01	+5.006621E-04	+4.800189E+00	+9.713038E-02	+7.722912E-01	+9.996322E-04	+4.799081E+00	+1.092617E-01	+7.777525E-01	+1.500053E-03	+4.798369E+00	+1.201812E-01	+7.816332E-01	+2.000696E-03
+4.849622E+00	+1.163157E-05	+5.570456E-01	+7.201756E-08	+4.849584E+00	+7.797600E-02	+7.609518E-01	+5.000710E-04	+4.849890E+00	+9.734254E-02	+7.712589E-01	+9.990805E-04	+4.849216E+00	+1.097637E-01	+7.768481E-01	+1.500588E-03	+4.849893E+00	+1.204937E-01	+7.804040E-01	+2.000432E-03
+4.899252E+00	+1.170347E-05	+5.575590E-01	+7.244953E-07	+4.899148E+00	+7.816845E-02	+7.604457E-01	+4.999203E-04	+4.899753E+00	+9.753782E-02	+7.703613E-01	+9.997181E-04	+4.898779E+00	+1.098636E-01	+7.756048E-01	+1.500011E-03	+4.899354E+00	+1.206916E-01	+7.795920E-01	+2.000633E-03
+4.949527E+00	+1.035952E-05	+5.584108E-01	+2.182803E-08	+4.949456E+00	+7.836465E-02	+7.596267E-01	+5.004076E-04	+4.949658E+00	+9.774652E-02	+7.694168E-01	+9.989510E-04	+4.949391E+00	+1.101681E-01	+7.745407E-01	+1.499961E-03	+4.949214E+00	+1.205875E-01	+7.782424E-01	+2.000597E-03
+5.000509E+00	+1.053253E-05	+5.591878E-01	+6.742495E-07	+4.999927E+00	+7.855207E-02	+7.588275E-01	+5.002965E-04	+5.000343E+00	+9.794353E-02	+7.688012E-01	+1.000736E-03	+4.999328E+00	+1.105717E-01	+7.737875E-01	+1.500422E-03	+5.000366E+00	+1.211448E-01	+7.771974E-01	+2.000368E-03

