Optical Power Monitor 4.0.4100.700

Power Meter;PM100USB
Power Meter SN;P2008717
Sensor;S120VC
Sensor SN;17072805
Sensor Type;Photodiode
Wavelength;518 nm
Range;Auto

Start of Measurement;10/29/2024 19:52:46
Elapsed Time;00:02:04:999
Samples;36237

--Statistics--
Minimum [W];6,414E-08
Maximum [W];0,007128
Mean [W];0,00048687
Standard Deviation [W];0,0013986
Ratio;111131,899 : 1

--Graph Data--
Time (ms);Power (W)
746,393;2,2859E-07
749,084;2,2527E-07
751,717;2,1451E-07
754,509;2,0533E-07
757,399;2,0847E-07
760,079;2,1926E-07
762,734;2,2859E-07
765,411;2,2636E-07
768,073;2,1602E-07
770,732;2,0582E-07
773,387;2,0654E-07
776,071;2,1647E-07
778,738;2,2745E-07
781,387;2,2772E-07
784,341;2,1866E-07
787,082;2,0662E-07
789,740;2,0612E-07
792,401;2,1515E-07
795,078;2,2613E-07
797,732;2,2847E-07
804,358;2,2002E-07
816,366;2,0741E-07
819,073;2,1126E-07
821,741;2,0488E-07
824,467;2,0971E-07
827,080;2,2077E-07
829,748;2,2866E-07
832,499;2,2542E-07
835,402;2,1303E-07
840,425;2,0503E-07
843,409;2,1911E-07
846,044;2,2847E-07
848,792;2,264E-07
851,407;2,1598E-07
854,028;2,0575E-07
856,723;2,0631E-07
859,521;2,1636E-07
862,401;2,2802E-07
865,043;2,273E-07
867,833;2,1741E-07
878,281;2,0529E-07
882,896;2,2832E-07
885,723;2,1137E-07
888,589;2,0499E-07
891,469;2,1103E-07
894,481;2,2372E-07
897,391;2,2878E-07
900,702;2,2149E-07
904,613;2,0767E-07
907,378;2,0824E-07
910,018;2,1904E-07
912,723;2,2836E-07
915,375;2,2651E-07
918,026;2,1624E-07
920,735;2,0563E-07
923,340;2,0643E-07
927,129;2,1613E-07
930,082;2,287E-07
932,720;2,2406E-07
936,013;2,1145E-07
938,670;2,0473E-07
941,340;2,1058E-07
944,020;2,2209E-07
956,219;2,2859E-07
959,018;2,1454E-07
961,666;2,2576E-07
964,345;2,2825E-07
967,838;2,199E-07
970,664;2,0556E-07
973,340;2,0612E-07
976,016;2,1594E-07
979,719;2,2678E-07
982,336;2,2538E-07
985,016;2,1458E-07
987,663;2,0511E-07
990,343;2,068E-07
993,016;2,1734E-07
995,728;2,2753E-07
998,386;2,2708E-07
1005,520;2,1734E-07
1008,379;2,1198E-07
1011,046;2,2323E-07
1013,831;2,2855E-07
1016,679;2,2115E-07
1019,376;2,1001E-07
1022,075;2,0465E-07
1031,038;2,1183E-07
1035,650;2,2002E-07
1038,362;2,0465E-07
1041,013;2,0892E-07
1043,676;2,2006E-07
1046,344;2,2836E-07
1053,210;2,2402E-07
1056,008;2,0499E-07
1058,686;2,1303E-07
1061,355;2,2432E-07
1064,006;2,2855E-07
1069,686;2,213E-07
1072,531;2,0477E-07
1075,338;2,1303E-07
1078,014;2,244E-07
1080,739;2,2832E-07
1090,089;2,2013E-07
1093,004;2,1688E-07
1096,000;2,2738E-07
1098,728;2,2632E-07
1106,318;2,1609E-07
1108,994;2,1413E-07
1111,944;2,253E-07
1114,727;2,2753E-07
1120,209;2,1862E-07
1122,998;2,0533E-07
1125,758;2,1402E-07
1128,711;2,2647E-07
1131,666;2,2708E-07
1136,241;2,1734E-07
1139,096;2,0477E-07
1142,061;2,1273E-07
1145,928;2,2538E-07
1148,794;2,264E-07
1155,816;2,1466E-07
1158,958;2,1273E-07
1161,675;2,2523E-07
1164,307;2,2817E-07
1169,650;2,2009E-07
1172,629;2,0477E-07
1179,973;2,1266E-07
1186,858;2,2413E-07
1189,660;2,0514E-07
1192,411;2,1386E-07
1195,290;2,2628E-07
1197,977;2,2749E-07
1202,645;2,1892E-07
1205,379;2,0439E-07
1209,901;2,1118E-07
1213,029;2,281E-07
1215,692;2,2542E-07
1223,160;2,1477E-07
1225,998;2,1511E-07
1228,620;2,2617E-07
1231,578;2,2753E-07
1236,008;2,1741E-07
1239,234;2,0446E-07
1241,979;2,1243E-07
1244,699;2,2391E-07
1247,619;2,2791E-07
1253,128;2,2021E-07
1256,286;2,0469E-07
1259,104;2,1394E-07
1262,112;2,2602E-07
1264,949;2,2708E-07
1272,481;2,176E-07
1275,321;2,1251E-07
1277,994;2,2402E-07
1280,638;2,2832E-07
1287,018;2,2172E-07
1294,107;2,0563E-07
1296,954;2,2847E-07
1303,097;2,2304E-07
1305,988;2,0477E-07
1308,625;2,1239E-07
1312,213;2,2394E-07
1314,934;2,2734E-07
1319,910;2,1775E-07
1322,622;2,0477E-07
1325,295;2,1258E-07
1327,937;2,2402E-07
1330,631;2,2863E-07
1337,681;2,2187E-07
1340,650;2,073E-07
1343,280;2,1794E-07
1346,034;2,2783E-07
1392,285;2,2602E-07
1421,625;2,2538E-07
1424,590;2,0998E-07
1427,245;2,2096E-07
1429,929;2,2878E-07
1433,247;2,25E-07
1440,260;2,1081E-07
1442,945;2,1666E-07
1445,580;2,2742E-07
1448,245;2,2749E-07
1456,460;2,1824E-07
1459,261;2,1526E-07
1461,930;2,2617E-07
1464,577;2,281E-07
1469,042;2,196E-07
1471,928;2,0469E-07
1474,929;2,1126E-07
1477,574;2,2258E-07
1480,243;2,2885E-07
1515,074;2,236E-07
1534,538;2,1704E-07
1537,245;2,0612E-07
1544,884;2,0567E-07
1550,301;2,2847E-07
1559,012;2,0843E-07
1588,789;2,2625E-07
1612,754;2,1111E-07
1616,850;2,2636E-07
1619,955;2,0979E-07
1713,010;2,0522E-07
1791,167;2,2572E-07
1905,931;2,2062E-07
2047,204;2,1349E-07
2189,894;2,2262E-07
2193,802;2,162E-07
2225,164;2,2946E-07
2343,696;2,25E-07
2420,293;2,2674E-07
2613,020;2,0612E-07
2713,174;2,2666E-07
2716,148;2,2768E-07
2719,284;2,1545E-07
2722,035;2,0688E-07
2728,101;2,2417E-07
2731,014;2,3108E-07
2733,701;2,2413E-07
2736,359;2,1262E-07
2738,992;2,0726E-07
2741,685;2,1326E-07
2744,347;2,2443E-07
2747,382;2,3165E-07
2750,009;2,2598E-07
2752,685;2,1462E-07
2755,363;2,0756E-07
2757,978;2,1217E-07
2806,577;2,2323E-07
2907,600;2,1839E-07
2910,369;2,2345E-07
2913,331;2,3395E-07
2916,350;2,2983E-07
2919,003;2,187E-07
2921,701;2,0967E-07
2924,640;2,136E-07
2927,320;2,2459E-07
2929,959;2,3327E-07
