Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 2.120000e+03	 1.00491518e+00	-1.19604051e-01	 8.79716255e-01	 0.00000000e+00	 3.7185e+02	 9.9995e+16	-1.0000e+17
 2.130000e+03	 1.00491527e+00	-1.19603963e-01	 8.14785883e-01	 0.00000000e+00	 3.7185e+02	 9.9996e+16	-1.0000e+17
 2.140000e+03	 1.00491535e+00	-1.19603881e-01	 7.54647851e-01	 0.00000000e+00	 3.7185e+02	 9.9996e+16	-1.0000e+17
 2.150000e+03	 1.00491543e+00	-1.19603806e-01	 6.98948461e-01	 0.00000000e+00	 3.7184e+02	 9.9996e+16	-1.0000e+17
 2.160000e+03	 1.00491549e+00	-1.19603736e-01	 6.47360108e-01	 0.00000000e+00	 3.7184e+02	 9.9997e+16	-1.0000e+17
 2.170000e+03	 1.00491556e+00	-1.19603671e-01	 5.99579382e-01	 0.00000000e+00	 3.7184e+02	 9.9997e+16	-1.0000e+17
 2.180000e+03	 1.00491562e+00	-1.19603611e-01	 5.55325244e-01	 0.00000000e+00	 3.7184e+02	 9.9997e+16	-1.0000e+17
 2.190000e+03	 1.00491568e+00	-1.19603556e-01	 5.14337422e-01	 0.00000000e+00	 3.7184e+02	 9.9997e+16	-1.0000e+17
 2.200000e+03	 1.00491573e+00	-1.19603504e-01	 4.76374826e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.210000e+03	 1.00491577e+00	-1.19603456e-01	 4.41214185e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.220000e+03	 1.00491582e+00	-1.19603412e-01	 4.08648690e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.230000e+03	 1.00491586e+00	-1.19603371e-01	 3.78486797e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.240000e+03	 1.00491590e+00	-1.19603334e-01	 3.50551110e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.250000e+03	 1.00491593e+00	-1.19603299e-01	 3.24677309e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.260000e+03	 1.00491596e+00	-1.19603266e-01	 3.00713221e-01	 0.00000000e+00	 3.7184e+02	 9.9998e+16	-1.0000e+17
 2.270000e+03	 1.00491599e+00	-1.19603236e-01	 2.78517884e-01	 0.00000000e+00	 3.7184e+02	 9.9999e+16	-1.0000e+17
 2.280000e+03	 1.00491602e+00	-1.19603208e-01	 2.57960757e-01	 0.00000000e+00	 3.7184e+02	 9.9999e+16	-1.0000e+17
 2.290000e+03	 1.00491605e+00	-1.19603182e-01	 2.38920925e-01	 0.00000000e+00	 3.7184e+02	 9.9999e+16	-1.0000e+17
 2.300000e+03	 1.00491607e+00	-1.19603159e-01	 2.21286400e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.310000e+03	 1.00491609e+00	-1.19603136e-01	 2.04953459e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.320000e+03	 1.00491611e+00	-1.19603116e-01	 1.89826028e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.330000e+03	 1.00491613e+00	-1.19603097e-01	 1.75815140e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.340000e+03	 1.00491615e+00	-1.19603079e-01	 1.62838381e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.350000e+03	 1.00491617e+00	-1.19603063e-01	 1.50819421e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
 2.360000e+03	 1.00491618e+00	-1.19603048e-01	 1.39687566e-01	 0.00000000e+00	 3.7183e+02	 9.9999e+16	-1.0000e+17
